Kinase,Z,method,AvgZ
AKT,2.67,710490313>0.15,0.45666666666666683
LKB,-2.48,710490313>0.15,-0.465
NMO,-2.41,710490313>0.15,-1.705
GSK,-2.04,710490313>0.15,-0.8483333333333333
SGK,2.02,710490313>0.15,0.6391666666666665
PAKB,1.97,710490313>0.15,1.2458333333333333
DMPK,1.85,710490313>0.15,0.46416666666666656
RAD53,1.66,710490313>0.15,0.7533333333333333
STE11,-1.61,710490313>0.15,-0.8708333333333332
NDR,-1.56,710490313>0.15,-1.1166666666666667
RIPK,-1.48,710490313>0.15,-0.8383333333333334
CAMK2,-1.47,710490313>0.15,-0.3833333333333333
TAO,1.43,710490313>0.15,0.8883333333333334
BRSK,1.42,710490313>0.15,0.9391666666666667
KHS,1.42,710490313>0.15,0.6791666666666667
RAF,1.42,710490313>0.15,0.6066666666666667
ATM,-1.39,710490313>0.15,-0.9958333333333333
STKR,1.35,710490313>0.15,0.7975
PEK,-1.28,710490313>0.15,-0.008333333333333337
PRKDC,-1.27,710490313>0.15,-1.3991666666666667
BARK2,-1.26,710490313>0.15,-0.8708333333333333
PLK,-1.24,710490313>0.15,-0.7975
QIK,1.17,710490313>0.15,0.5433333333333333
PIM,1.16,710490313>0.15,0.5716666666666667
MTOR,-1.11,710490313>0.15,-0.7991666666666667
PKD,1.08,710490313>0.15,-0.46
PKA,1.08,710490313>0.15,-0.23083333333333336
STE7,-1.06,710490313>0.15,-0.9708333333333334
MLK,-1.04,710490313>0.15,-0.6358333333333333
HAL,-1.04,710490313>0.15,0.23999999999999996
PHK,1.03,710490313>0.15,-0.7041666666666667
TTK,-1.03,710490313>0.15,-0.7083333333333334
CHK1,1.01,710490313>0.15,0.7325
TLK,-1.01,710490313>0.15,-0.705
NUAK,-1,710490313>0.15,-0.6991666666666667
MAPKAPK,1,710490313>0.15,0.05166666666666675
AMPK,0.95,710490313>0.15,-0.1758333333333334
AUR,0.87,710490313>0.15,-0.3066666666666667
ATR,-0.84,710490313>0.15,-1.0883333333333334
PKG,0.75,710490313>0.15,0.2524999999999999
MELK,0.74,710490313>0.15,0.5908333333333333
ULK,-0.73,710490313>0.15,-0.49583333333333335
NIK,-0.72,710490313>0.15,-0.5025
MOS,-0.72,710490313>0.15,-0.4966666666666667
SLK,-0.71,710490313>0.15,-0.4925
WNK,-0.71,710490313>0.15,-0.09000000000000002
BUD32,-0.7,710490313>0.15,-0.49416666666666664
PASK,-0.7,710490313>0.15,-0.49833333333333335
CLK,-0.7,710490313>0.15,-0.4991666666666667
CAMKK,-0.69,710490313>0.15,-0.4891666666666667
DYRK,-0.68,710490313>0.15,0.5966666666666667
VRK1,-0.64,710490313>0.15,0.2633333333333334
COT,-0.62,710490313>0.15,-0.20583333333333334
ERK,-0.6,710490313>0.15,1.74
CDK,-0.53,710490313>0.15,0.27416666666666667
NAK,0.52,710490313>0.15,0.11333333333333334
DAPK,0.52,710490313>0.15,0.36416666666666664
PKN,0.5,710490313>0.15,1.8233333333333333
IKK,-0.47,710490313>0.15,-0.4741666666666667
RSK,0.46,710490313>0.15,-0.505
PAKA,-0.4,710490313>0.15,-0.4625
IRAK,-0.37,710490313>0.15,0.97
JNK,-0.37,710490313>0.15,-0.09333333333333334
MSN,-0.37,710490313>0.15,0.019999999999999997
MLCK,0.37,710490313>0.15,0.725
PKCH,0.35,710490313>0.15,2.1033333333333335
PDK1,-0.34,710490313>0.15,0.7708333333333333
FRAY,-0.33,710490313>0.15,-0.09333333333333337
PKCA,0.32,710490313>0.15,0.20166666666666666
CK1,-0.28,710490313>0.15,0.4141666666666667
