Kinase Name,Kinase Uniprot ID,Kinase Group,Kinase Family,Mean Significance Score,Mean Specificity Score,Median Final score,Max Final score,Median Kinase Statistic,Mean Kinase Statistic,SD Kinase Statitistic,Median Kinase Change,Mean peptide set size
PDGFRB,P09619,TYR,PDGFR,0.8038472970453827,2.211009926170198,3.071604147743286,3.6655462488490693,0.8949973951780793,0.939585486241102,0.09603503594999883,0.16195923472148926,8
SYK,P43405,TYR,Syk,0.6550176131723939,1.2453579045068062,1.925476112065048,2.5275361033930106,0.5322427123880658,0.526689542241229,0.044385608447833805,0.12762152750333505,34
BTK,Q06187,TYR,Tec,0.7713015075518491,1.1668411582599512,1.8541202035293798,2.4183916339679428,0.7385328438391002,0.7096933792163624,0.10680786293768396,0.252859124781779,7
EPHA5,P54756,TYR,Eph,0.6324076808448682,1.1276680211499102,1.8419079038636708,1.8812724495729947,0.9218455700067175,0.889732356150946,0.06422642771154297,0.19458438854827756,3
BMX,P51813,TYR,Tec,0.8377784910455383,0.7182957400359599,1.6527090241438969,2.0220935723628815,0.530391050930844,0.5213159895008251,0.048652943342147384,0.08812817257622702,16
KDR,P35968,TYR,VEGFR,0.6736641390712486,1.2130425557395281,1.6483582738064784,2.4183916339679428,0.6569800693708306,0.681253681388673,0.10483745541054364,0.10227358307451238,9
ZAP70,P43403,TYR,Syk,0.561784983678121,1.037453697098182,1.5146193302890625,1.9924229016956614,0.5276582891658715,0.5186751998077077,0.021326951536389235,0.11760906345989317,29
ABL1,P00519,TYR,Abl,0.6363710872735394,0.9776103898697122,1.5093112832868116,2.4183916339679428,0.5062023755733316,0.5257347057603299,0.0917516783088617,0.11915467636778461,23
LYN,P07948,TYR,Src,0.8107743195784928,0.7422028047951053,1.456031234306438,1.7618534935689651,0.5548783472990588,0.6655699142139618,0.1986308198606008,0.128193966792478,5
TEC,P42680,TYR,Tec,0.6736641390712486,0.6175843775774729,1.2390952350370497,1.5337850526700119,0.5126792052214506,0.5044498109913124,0.052231853929063654,0.13910330091830259,13
TXK,P42681,TYR,Tec,0.47176781512428173,0.7663904029708478,1.2203457990242108,1.4724216504946077,0.5520450267367377,0.5678833812380352,0.08405150372699796,0.13136681106120046,12
BLK,P51451,TYR,Src,0.7145821182141323,0.4858913072998736,1.107816320397731,1.984305011473482,0.4513524636274074,0.463700533317272,0.18433412947700537,0.11452811602702817,8
FLT1,P17948,TYR,VEGFR,0.6177245613746848,0.36529345607887564,1.107816320397731,1.2296193431531721,0.44809976819109415,0.4179463546667074,0.05513378076477306,0.13208792424523702,17
ITK,Q08881,TYR,Tec,0.6363710872735394,0.36832250164735303,1.0422203700580766,1.1658082673754175,0.4324950119702547,0.42377905317002,0.01735917575876798,0.10738332891060963,20
NTRK3,Q16288,TYR,Trk,0.7394739524639621,0.29411365841120235,0.9660939629733122,1.279939975250757,0.39646183740367397,0.40108524387344885,0.024316216046297558,0.05977000084617919,13
ABL2,P42684,TYR,Abl,0.6736641390712486,0.36555129054736274,0.9254761120650481,1.515301646975999,0.3993889454714567,0.4262596402803055,0.06930530517246458,0.09168267853576823,28
TYRO3,Q06418,TYR,Axl,0.636681409516225,0.3299263840245477,0.9102361455083113,1.2296193431531721,0.3918643950199749,0.4169873728784261,0.041806154209211084,0.1310243486550248,21
FGFR3,P22607,TYR,FGFR,0.5499083811381957,0.3754288990994942,0.9070893459290936,1.0651381054940545,0.42900559780994785,0.431182622114665,0.006917560685445795,0.22331884818963177,4
