Kinase Name,Kinase Uniprot ID,Kinase Group,Kinase Family,Mean Significance Score,Mean Specificity Score,Median Final score,Max Final score,Median Kinase Statistic,Mean Kinase Statistic,SD Kinase Statitistic,Median Kinase Change,Mean peptide set size
FLT1,P17948,TYR,VEGFR,0.6861327796308466,2.5682931977742762,3.3851027839668655,3.3851027839668655,0.7017583439659161,0.7003299079070325,0.01450846556189819,0.2161133309680527,16
ITK,Q08881,TYR,Tec,0.6485758100220466,2.185330818779353,2.9150664250632836,3.3851027839668655,0.5308728826174437,0.5475470973688914,0.15915502901694079,0.2794504185072855,20
KDR,P35968,TYR,VEGFR,0.7484535496046697,2.061252402535874,2.907981529247203,3.3851027839668655,0.7725518112855082,0.768220253852061,0.053121376594784116,0.25338087397392905,9
FGR,P09769,TYR,Src,0.6485758100220466,2.132262165989623,2.7389751660076023,3.3851027839668655,-1.110271573340188,-1.0817767472385076,0.056542667637808665,-0.7535023290057978,4
ATR,Q13535,Atypical,PIKK,0.6861327796308466,1.7931576817365438,2.456436535751231,2.6861327796308467,-1.1752690264701513,-1.1752690264701513,0,-0.935626764309997,3
FES,P07332,TYR,Fer,0.6861327796308466,1.7934995713474926,2.4308602745275407,3.3851027839668655,0.8522120227691623,0.8137075047198555,0.08219668424291696,0.35649052684016636,6
PDGFRB,P09619,TYR,PDGFR,0.7256550410775198,1.026344214689805,2.267606240177032,2.489454989793388,0.6093041753686276,0.5241813972545974,0.13009477879404652,0.13386535313463957,8
SRMS,Q9H3Y6,TYR,Src,0.9665762445130504,1.3928501231316917,2.21838821750685,2.8204482088348124,0.4729536027047695,0.4630012913396984,0.030024170585211698,0.08913686679501545,16
EPHA4,P54764,TYR,Eph,0.6861327796308466,1.3228369147634167,2.0048915422552596,2.0840727883028842,1.016591309035993,1.016591309035993,0,0.20281793799979,3
FLT3,P36888,TYR,PDGFR,0.6016295980110464,1.379510421085507,1.999569606683084,2.4379451703436215,0.6501194781823088,0.6688684713407412,0.07466290264275711,0.23212079315110057,7
EPHA2,P29317,TYR,Eph,0.6861327796308466,1.2901205530555484,1.9701294359960473,2.1298302788635595,0.9395287095063664,0.9382444734355765,0.002224362123520737,0.20374587340773273,3
PTK6,Q13882,TYR,Src,0.7516094950901197,1.3598285169764515,1.8799528056469597,2.9665762445130506,0.3092404587605868,0.3079827642162626,0.0835336874000782,0.1016966021438436,35
INSR,P06213,TYR,InsR,0.9665762445130504,0.917890799214685,1.8662056993954874,2.3231235680268627,-0.48017518652730484,-0.4541954822950404,0.11509719872114202,-0.21348288860755038,10
EPHB1,P54762,TYR,Eph,0.6861327796308466,1.061961657773026,1.741650107480678,1.8053191873500554,0.8891505589401297,0.8891505589401297,0,0.3655564782583074,3
CSK,P41240,TYR,Csk,0.5664261645572891,0.6944423971672312,1.3722655592616932,2.1546538625885914,0.2671678395401954,0.24607549155448144,0.059511708818885956,0.09306430012758825,20
ERBB3,P21860,TYR,EGFR,0.49382473284277295,0.7365374759326274,1.3639134848969272,2.2711594316600285,-0.2656778418509553,-0.2709236390247332,0.15366207900544906,-0.0708460627608812,21
FER,P16591,TYR,Fer,0.6485758100220466,0.8786001662426635,1.359796918702095,2.4820127969749217,0.5535190341823986,0.5414381553528614,0.1259306863599084,0.2841115692969185,7
JAK2,O60674,TYR,JakA,0.6288480442600377,0.7477452830647087,1.320644794739947,2.3059215379192404,0.332242911378649,0.3433374598966069,0.11361947529892312,0.17661453661621182,11
