Kinase Name,Kinase Uniprot ID,Kinase Group,Kinase Family,Mean Significance Score,Mean Specificity Score,Median Final score,Max Final score,Median Kinase Statistic,Mean Kinase Statistic,SD Kinase Statitistic,Median Kinase Change,Mean peptide set size
PRKCA,P17252,AGC,PKC,0.6861327796308466,2.1537977244358575,2.907981529247203,3.0840727883028842,-0.869766764903106,-0.8935112008252929,0.04104750414528581,-0.3536640595737227,12
PRKCG,P05129,AGC,PKC,0.6861327796308466,2.211680418380651,2.907981529247203,3.3851027839668655,-1.1032131246826595,-1.0980661927915025,0.03531512357313984,-0.36542577199760157,7
PRKCZ,Q05513,AGC,PKC,0.6861327796308466,2.2369297274365465,2.783042792638903,3.3851027839668655,-1.180272755148075,-1.1616724641428648,0.03660436872701732,-0.4008737166269058,6
PRKCE,Q02156,AGC,PKC,0.6861327796308466,2.1349919650441493,2.6861327796308467,3.3851027839668655,-0.9018765915155312,-0.9251891272116853,0.05047611630086605,-0.3872251595240726,11
PRKCB,P05771,AGC,PKC,0.6861327796308466,1.9044335999023194,2.6069515335832216,3.0840727883028842,-0.8527462149330518,-0.8781288545253961,0.0880422644418557,-0.3336333558773748,12
PRKCD,Q05655,AGC,PKC,0.6861327796308466,1.937144646209538,2.6069515335832216,2.907981529247203,-0.941779120360495,-0.9782000397937589,0.0833528575639507,-0.34701352448849093,9
NPR2,P20594,RGC,RGC,0.6861327796308466,1.7565135799847438,2.4820127969749217,2.5400047439526086,-1.1281352165841132,-1.167964272302168,0.06898594812116263,-0.39528839500238266,5
DAPK2,Q9UIK4,CAMK,DAPK,0.6861327796308466,1.6896219926244935,2.3851027839668655,2.6861327796308467,-1.2739154256665661,-1.3688478344630444,0.1423986131947174,-0.3571935572992291,4
PRKCH,P24723,AGC,PKC,0.6861327796308466,1.7416305382275092,2.3851027839668655,2.783042792638903,-1.0318844748493072,-1.0621877359131264,0.08665245723664179,-0.3944548101072286,7
PRKCI,P41743,AGC,PKC,0.6861327796308466,1.52127836618479,2.2711594316600285,2.5400047439526086,-0.98682684836432,-0.9277784619015395,0.07043002355995355,-0.32495137687615483,8
PRKACA,P17612,AGC,PKA,0.6307528721015142,1.423554497133218,2.2389747482886273,2.5400047439526086,-0.6944407707849815,-0.6667851570012091,0.050366553102933365,-0.3591368489215884,23
PRKCQ,Q04759,AGC,PKC,0.6861327796308466,1.524316743319493,2.209011524911184,2.5400047439526086,-0.7979479546473787,-0.8160932458095828,0.050319978997468935,-0.32759546006812973,12
CDK10,Q15131,CMGC,CDK,0.9354158595261388,1.1046891609197265,2.1470323089711814,2.285335007137463,-1.0954402944850454,-0.9539001602450261,0.1738861041970295,-0.1989552028140027,4
SGK3,Q96BR1,AGC,SGK,0.6861327796308466,1.3966888001163873,2.1063491830140366,2.2711594316600285,-0.9822204424361589,-0.9130515398235843,0.08886268358116077,-0.34489155368461805,8
MYLK2,Q9H1R3,CAMK,MLCK,0.6861327796308466,1.3979400086720375,2.0840727883028842,2.0840727883028842,-1.286871510712369,-1.286871510712369,NA,-0.24846678358594124,3
SGK2,Q9HBY8,AGC,SGK,0.6501086832609955,1.2410676924957198,1.9826924446062844,2.2389747482886273,-0.8315622072552883,-0.8685752706643464,0.1475543741138307,-0.37461899362767126,7
CSNK1A1,P48729,CK1,CK1,0.5093696428916031,0.8886592923698772,1.937944752624646,2.2389747482886273,-0.9287433275872556,-0.6892896489390699,0.29724623233996816,-0.32953184847827216,6
GSK3A,P49840,CMGC,GSK,0.9665762445130504,0.90110835221161,1.8873949984654255,1.9251835593548252,-0.7892729078213384,-0.7892729078213384,0,-0.15130916903348712,4
GSK3B,P49841,CMGC,GSK,0.9665762445130504,0.8927044967455351,1.8526328922062136,1.9251835593548252,-0.7892729078213384,-0.7901066068058704,0.0025010969535960528,-0.15130916903348712,4
NPR1,P16066,RGC,RGC,0.6676728104544025,1.0381664568779392,1.7038615465912783,1.8288002831995782,-0.6997510057127406,-0.7019090263270528,0.003964699435716715,-0.3972056063502997,14
PIM2,Q9P1W9,CAMK,PIM,0.6307528721015142,0.8961834815328698,1.636914756960665,1.7618534935689651,-0.6437905237022229,-0.6292074386522059,0.03165699818445217,-0.30187980434727946,21
SGK1,O00141,AGC,SGK,0.667037867840577,0.9523590216742782,1.6216747904039281,2.0233749479492724,-0.6989909411902986,-0.750664647638897,0.12110740152274713,-0.2593692185219628,8
CDKL2,Q92772,CMGC,CDKL,0.6579650524242465,0.9070187454629329,1.585981188140054,1.7618534935689651,-0.8391020171294947,-0.8176847864044425,0.052461286979836166,-0.30181225407446605,3
ARAF,P10398,TKL,RAF,0.6861327796308466,0.8877866116438692,1.5721894273240098,1.636914756960665,-0.7890667541854534,-0.7890667541854534,0,-0.5707389267542174,4
BRAF,P15056,TKL,RAF,0.6220899416400002,0.7880608463318112,1.54625369322961,1.6216747904039281,-0.7890667541854534,-0.743954030335865,0.08951778620305723,-0.5707389267542174,4
CDK15,Q96Q40,CMGC,CDK,0.6861327796308466,0.7576095196629951,1.5247751056910033,1.559027981266039,-0.7810699973324938,-0.7367631580629733,0.08204032470622775,-0.3188404885787784,3
