Kinase,Z,method,AvgZ
DMPK,3.14,710490318>0.15,1.5141666666666667
AMPK,2.99,710490318>0.15,2.475
CAMK1,2.83,710490318>0.15,2.1483333333333334
RSK,2.8,710490318>0.15,1.2774999999999999
DYRK,-2.57,710490318>0.15,-1.8391666666666668
PIM,2.44,710490318>0.15,1.4183333333333332
NMO,-2.39,710490318>0.15,-1.5791666666666666
RAD53,2.36,710490318>0.15,0.9541666666666667
PKG,2.24,710490318>0.15,1.14
JNK,-2.18,710490318>0.15,-1.3108333333333333
PKCH,2.17,710490318>0.15,1.2991666666666666
PLK,-2.13,710490318>0.15,-1.4941666666666666
AKT,1.72,710490318>0.15,1.2283333333333333
PKA,1.72,710490318>0.15,0.8966666666666666
NDR,1.72,710490318>0.15,0.5716666666666667
PAKB,1.57,710490318>0.15,1.5325
PKN,1.52,710490318>0.15,0.24583333333333324
BARK2,-1.5,710490318>0.15,-1.08
PKCA,1.3,710490318>0.15,1.0741666666666667
MAPKAPK,1.3,710490318>0.15,0.8583333333333334
PKD,1.27,710490318>0.15,0.35749999999999993
NUAK,-1.25,710490318>0.15,-0.8783333333333333
MARK,1.22,710490318>0.15,1.2533333333333334
TLK,-1.21,710490318>0.15,-0.8783333333333333
TTK,-1.19,710490318>0.15,-0.8883333333333333
SGK,1.18,710490318>0.15,1.405
MELK,1.17,710490318>0.15,0.7816666666666666
TAO,1.16,710490318>0.15,1.2175
PDHK,1.13,710490318>0.15,1.2366666666666666
STE7,-1.12,710490318>0.15,-0.5125
KHS,1.11,710490318>0.15,1.7366666666666668
PDK1,-1.1,710490318>0.15,-0.39666666666666667
PAKA,1.06,710490318>0.15,0.3275
NIK,-0.89,710490318>0.15,-0.6291666666666667
CLK,-0.89,710490318>0.15,-0.6266666666666667
BUD32,-0.88,710490318>0.15,-0.6233333333333333
WNK,-0.88,710490318>0.15,0.7833333333333333
P38,-0.87,710490318>0.15,-0.7441666666666666
MOS,-0.86,710490318>0.15,-0.6158333333333333
BRSK,-0.86,710490318>0.15,-0.6166666666666667
ULK,-0.86,710490318>0.15,-0.6275
SLK,-0.86,710490318>0.15,-0.625
CAMKK,-0.85,710490318>0.15,-0.6091666666666666
ERK,-0.85,710490318>0.15,-0.6291666666666667
CDK,-0.84,710490318>0.15,-0.8133333333333334
STE11,-0.84,710490318>0.15,-0.6666666666666666
PASK,-0.83,710490318>0.15,-0.6174999999999999
FRAY,-0.82,710490318>0.15,0.05750000000000004
MLCK,0.79,710490318>0.15,1.06
MTOR,-0.76,710490318>0.15,-0.2275
PKCD,0.76,710490318>0.15,-0.2683333333333333
AUR,0.76,710490318>0.15,0.06916666666666667
CHK1,0.76,710490318>0.15,0.5058333333333334
ATM,-0.74,710490318>0.15,-0.7266666666666667
MSN,-0.74,710490318>0.15,0.1716666666666667
STKR,0.73,710490318>0.15,0.675
PEK,-0.72,710490318>0.15,-0.5499999999999999
PRKDC,-0.71,710490318>0.15,-1.1991666666666667
CK1,-0.67,710490318>0.15,0.21083333333333332
IRAK,-0.58,710490318>0.15,0.059166666666666645
LKB,-0.51,710490318>0.15,-0.43583333333333335
NEK,0.42,710490318>0.15,0.35916666666666663
CAMK2,0.36,710490318>0.15,0.3875
MST,-0.33,710490318>0.15,0.030000000000000044
DAPK,0.33,710490318>0.15,-0.145
CK2,-0.29,710490318>0.15,-0.4733333333333334
ATR,0.27,710490318>0.15,-0.4341666666666667
QIK,-0.26,710490318>0.15,-0.33666666666666667
RAF,0.22,710490318>0.15,0.25333333333333335
NAK,0.22,710490318>0.15,0.6025
RIPK,0.21,710490318>0.15,0.13166666666666668
PKCI,0.16,710490318>0.15,-0.3516666666666667
VRK1,-0.15,710490318>0.15,-0.5133333333333334
HAL,0.15,710490318>0.15,0.4225
MLK,0.11,710490318>0.15,0.21166666666666667
COT,-0.09,710490318>0.15,0.4066666666666667
GRK,-0.09,710490318>0.15,-0.30166666666666664
IKK,-0.05,710490318>0.15,0.2358333333333333
GSK,-0.05,710490318>0.15,0.11083333333333334
PHK,0.02,710490318>0.15,-0.7141666666666667
AMPK,3.88,710490318>0.2,2.475
RSK,3.86,710490318>0.2,1.2774999999999999
DMPK,3.82,710490318>0.2,1.5141666666666667
PIM,3.53,710490318>0.2,1.4183333333333332
CAMK1,3.16,710490318>0.2,2.1483333333333334
DYRK,-3.02,710490318>0.2,-1.8391666666666668
PKG,2.81,710490318>0.2,1.14
PKA,2.61,710490318>0.2,0.8966666666666666
RAD53,2.43,710490318>0.2,0.9541666666666667
JNK,-2.39,710490318>0.2,-1.3108333333333333
ERK,-2.28,710490318>0.2,-0.6291666666666667
NDR,2.11,710490318>0.2,0.5716666666666667
PLK,-2.1,710490318>0.2,-1.4941666666666666
NMO,-1.96,710490318>0.2,-1.5791666666666666
PDHK,1.93,710490318>0.2,1.2366666666666666
PAKB,1.89,710490318>0.2,1.5325
PKCH,1.79,710490318>0.2,1.2991666666666666
AKT,1.76,710490318>0.2,1.2283333333333333
PKD,1.7,710490318>0.2,0.35749999999999993
P38,-1.64,710490318>0.2,-0.7441666666666666
MARK,1.62,710490318>0.2,1.2533333333333334
PKCD,1.41,710490318>0.2,-0.2683333333333333
BARK2,-1.37,710490318>0.2,-1.08
KHS,1.36,710490318>0.2,1.7366666666666668
CHK1,1.36,710490318>0.2,0.5058333333333334
TAO,1.33,710490318>0.2,1.2175
PDK1,-1.33,710490318>0.2,-0.39666666666666667
CDK,-1.23,710490318>0.2,-0.8133333333333334
MELK,1.23,710490318>0.2,0.7816666666666666
NEK,1.18,710490318>0.2,0.35916666666666663
PKCA,1.11,710490318>0.2,1.0741666666666667
NUAK,-1.08,710490318>0.2,-0.8783333333333333
PHK,1.08,710490318>0.2,-0.7141666666666667
TTK,-1.08,710490318>0.2,-0.8883333333333333
CAMK2,1.06,710490318>0.2,0.3875
TLK,-1.05,710490318>0.2,-0.8783333333333333
PKN,-1.04,710490318>0.2,0.24583333333333324
RIPK,0.91,710490318>0.2,0.13166666666666668
PAKA,0.84,710490318>0.2,0.3275
PEK,-0.83,710490318>0.2,-0.5499999999999999
GRK,-0.83,710490318>0.2,-0.30166666666666664
MAPKAPK,0.82,710490318>0.2,0.8583333333333334
VRK1,-0.8,710490318>0.2,-0.5133333333333334
BRSK,-0.79,710490318>0.2,-0.6166666666666667
CLK,-0.78,710490318>0.2,-0.6266666666666667
NIK,-0.78,710490318>0.2,-0.6291666666666667
ULK,-0.77,710490318>0.2,-0.6275
SLK,-0.77,710490318>0.2,-0.625
PASK,-0.76,710490318>0.2,-0.6174999999999999
ATR,0.76,710490318>0.2,-0.4341666666666667
MOS,-0.76,710490318>0.2,-0.6158333333333333
BUD32,-0.75,710490318>0.2,-0.6233333333333333
CAMKK,-0.74,710490318>0.2,-0.6091666666666666
WNK,-0.72,710490318>0.2,0.7833333333333333
SGK,0.72,710490318>0.2,1.405
DAPK,0.66,710490318>0.2,-0.145
AUR,0.65,710490318>0.2,0.06916666666666667
LKB,-0.64,710490318>0.2,-0.43583333333333335
IRAK,-0.6,710490318>0.2,0.059166666666666645
FRAY,-0.59,710490318>0.2,0.05750000000000004
STE7,-0.53,710490318>0.2,-0.5125
ATM,-0.47,710490318>0.2,-0.7266666666666667
MSN,-0.46,710490318>0.2,0.1716666666666667
MTOR,-0.46,710490318>0.2,-0.2275
NAK,0.45,710490318>0.2,0.6025
HAL,0.43,710490318>0.2,0.4225
STE11,-0.41,710490318>0.2,-0.6666666666666666
STKR,0.38,710490318>0.2,0.675
QIK,-0.25,710490318>0.2,-0.33666666666666667
MLK,0.22,710490318>0.2,0.21166666666666667
MLCK,0.21,710490318>0.2,1.06
PRKDC,-0.2,710490318>0.2,-1.1991666666666667
GSK,0.19,710490318>0.2,0.11083333333333334
RAF,0.17,710490318>0.2,0.25333333333333335
COT,0.16,710490318>0.2,0.4066666666666667
CK2,0.05,710490318>0.2,-0.4733333333333334
MST,-0.02,710490318>0.2,0.030000000000000044
PKCI,-0.02,710490318>0.2,-0.3516666666666667
CK1,-0.01,710490318>0.2,0.21083333333333332
IKK,-0,710490318>0.2,0.2358333333333333
AMPK,3.91,710490318>0.3,2.475
CAMK1,3.62,710490318>0.3,2.1483333333333334
PIM,3.56,710490318>0.3,1.4183333333333332
DYRK,-3.56,710490318>0.3,-1.8391666666666668
PKG,3.52,710490318>0.3,1.14
DMPK,3.39,710490318>0.3,1.5141666666666667
RSK,3.15,710490318>0.3,1.2774999999999999
PKA,3.03,710490318>0.3,0.8966666666666666
JNK,-2.5,710490318>0.3,-1.3108333333333333
NDR,2.35,710490318>0.3,0.5716666666666667
PKCH,2.16,710490318>0.3,1.2991666666666666
PDHK,2.06,710490318>0.3,1.2366666666666666
PAKB,2.06,710490318>0.3,1.5325
AKT,1.95,710490318>0.3,1.2283333333333333
PLK,-1.91,710490318>0.3,-1.4941666666666666
ERK,-1.9,710490318>0.3,-0.6291666666666667
P38,-1.9,710490318>0.3,-0.7441666666666666
PKD,1.88,710490318>0.3,0.35749999999999993
MARK,1.81,710490318>0.3,1.2533333333333334
