Kinase Name,Kinase Uniprot ID,Kinase Group,Kinase Family,Mean Significance Score,Mean Specificity Score,Median Final score,Max Final score,Median Kinase Statistic,Mean Kinase Statistic,SD Kinase Statitistic,Median Kinase Change,Mean peptide set size
EGFR,P00533,TYR,EGFR,0.33232038369879313,1.2893870273249735,1.4283377438234985,2.31443738884177,-0.286218132928286,-0.30616842088486074,0.03226027109378015,-0.10082205053176305,34
FLT3,P36888,TYR,PDGFR,0.3207812882387205,0.867861314923359,1.35222594973117,1.5797801222748524,-0.45004795352542265,-0.4047324206243347,0.10785213785658464,-0.12865192829532504,7
ROS1,P08922,TYR,Sev,0.42682872444735975,0.6060770352999567,1.0271521422439143,1.0653601735663392,-0.3596898620478055,-0.34393291187733516,0.03151390034094073,-0.11160815573960221,5
ERBB2,P04626,TYR,EGFR,0.2759489212427465,0.6922300459516315,0.9748908409280257,1.3444006122192134,-0.26914074164447427,-0.26272466253562526,0.04623443787752024,-0.0774960133000666,24
FLT1,P17948,TYR,VEGFR,0.21609642072726507,0.693687192654483,0.9327951920237155,1.129736590052517,-0.3018111108584265,-0.29683032301952744,0.04354071339934426,-0.14167762160369773,16
TXK,P42681,TYR,Tec,0.1748334524355981,0.692730727329421,0.8248594380194448,1.813835038272585,-0.2657990562134884,-0.31033300780523926,0.10457319925196089,-0.059937951673370744,15
SYK,P43405,TYR,Syk,0.21548604748686498,0.6296421377592284,0.8048423244975577,1.3320616558146456,-0.2450256956303006,-0.24086646358569475,0.03989263256637874,-0.09245742472760812,39
AXL,P30530,TYR,Axl,0.15119529894819625,0.6440699537732549,0.7857073140572965,1.2166968477046285,-0.2526919215902907,-0.25351831669318586,0.030802867127888007,-0.12467151559920149,29
BMX,P51813,TYR,Tec,0.18725147771434558,0.6001614841401689,0.7638054726094669,1.051743564942828,-0.2629301162519968,-0.2600904306597567,0.044067983794354657,-0.08056883519317104,19
CSK,P41240,TYR,Csk,0.15119529894819625,0.5062086437673885,0.6406502887415841,1.0176563905779787,-0.24334527930902514,-0.2342226377523298,0.024701474627473186,-0.06684855311056322,25
ZAP70,P43403,TYR,Syk,0.1954166835385413,0.4856426258630881,0.617644303760026,0.8994640408709523,-0.22953469995062015,-0.22782208956152825,0.014893329095395888,-0.07175655229411577,35
PDGFRB,P09619,TYR,PDGFR,0.21352496476582436,0.39994969466285585,0.5949201389522298,0.8859497575912445,-0.2218199782147182,-0.240384709242189,0.05323848237105239,-0.10271692525439383,8
ABL2,P42684,TYR,Abl,0.22622737763821646,0.4766463124424402,0.5366685241151462,1.3910463007241372,-0.20769887853810276,-0.23321447113171911,0.06319478650512494,-0.06309232806427974,30
LYN,P07948,TYR,Src,0.1776773612758398,0.368541018656618,0.5182593442338488,0.8979094744881633,-0.21100762384364433,-0.22805330183466785,0.10472262501909753,-0.09977830331309541,7
INSR,P06213,TYR,InsR,0.21390149828424648,0.368690352628117,0.5082406185211028,0.8858963224042311,-0.21609915253309686,-0.21975738105954962,0.033787530623037854,-0.05273729809967875,9
ERBB4,Q15303,TYR,EGFR,0.15215701184026478,0.5584049687154373,0.501292558376606,2.013407393177789,-0.19258093672784937,-0.20437348896890153,0.0765281868460089,-0.08895590043065234,23
MERTK,Q12866,TYR,Axl,0.1733075715428759,0.3232553567280823,0.44819880470917445,0.70715050303012,-0.19537140363947667,-0.2052981367766645,0.031696221439777336,-0.052697954704733783,26
KIT,P10721,TYR,PDGFR,0.1925635994146025,0.2373266781520474,0.398079005146869,0.6201942890819929,-0.10353386897151173,-0.004476664577027024,0.1903499358509497,0.010014101994767977,4
ERBB3,P21860,TYR,EGFR,0.16052147107597167,0.27305564777056257,0.39275091335816814,0.688610675556059,-0.19387307468678777,-0.1853394998066198,0.03146684100365049,-0.03254163022248952,24
TEC,P42680,TYR,Tec,0.1320185186971006,0.2993069014999891,0.39228340655022276,0.6740740442285339,-0.18739514293335038,-0.1971872104160901,0.025001391398704113,-0.026469327811974256,21
ITK,Q08881,TYR,Tec,0.12255135340097616,0.21883365968288296,0.3715988076903717,0.6871797204496103,-0.18594837888472457,-0.1697604183978366,0.039162491867126996,-0.05139783815749735,27
ALK,Q9UM73,TYR,Alk,0.07151678545256593,0.17461189578694236,0.3439286426258482,0.4462819880802895,-0.1909027524111012,-0.13596670933689334,0.07828162185414661,-0.039110166478566646,28
PTK6,Q13882,TYR,Src,0.1729880012197135,0.27025645237729923,0.34096278095311217,0.7567039329680343,-0.18096812414990074,-0.19439976740751622,0.030454690349583823,-0.089543419307111,44
FGFR1,P11362,TYR,FGFR,0.12167008956373858,0.31649806538739766,0.30549658705374166,0.8337120098532825,-0.16589851697394456,-0.19809029572022524,0.09185676170038035,-0.09927852556337029,11
FGR,P09769,TYR,Src,0.0947439512515487,0.19220095380409347,0.30375547616273285,0.3373479224585245,-0.16380737437714515,-0.14731386294717036,0.03272829711743595,-0.019642089012053887,4
LCK,P06239,TYR,Src,0.08365715235642485,0.1895696536699408,0.29128683560313484,0.31049579670506944,-0.14214045232717754,-0.14245217686021444,0.0060368506585663385,-0.04751783915171126,9
FYN,P06241,TYR,Src,0.1311655931161422,0.2745593559708414,0.2891112412894584,1.105816904959169,-0.13798255091724207,-0.18551422955748467,0.09384115365780049,-0.025348312883239466,7
RET,P07949,TYR,Ret,0.07285052304048503,0.17050803836543454,0.288844279473747,0.33475306579693587,-0.1701856319208601,-0.14073190652398324,0.05556477486201524,-0.03504628005468728,13
JAK3,P52333,TYR,JakA,0.04479346245805826,0.2357953237098374,0.2798704778081698,0.293514358474716,-0.18430723128026827,-0.18430723128026827,0,-0.08616579218962173,3
MAP2K2,P36507,STE,STE7,0.15119529894819625,0.12279315276153965,0.27845647147552743,0.2902586782481026,0.10556205376287953,0.10556205376287953,0,0.026747230200335537,4
