Kinase Name,Kinase Uniprot ID,Kinase Group,Kinase Family,Mean Significance Score,Mean Specificity Score,Median Final score,Max Final score,Median Kinase Statistic,Mean Kinase Statistic,SD Kinase Statitistic,Median Kinase Change,Mean peptide set size
MST1R,Q04912,TYR,Met,0.9665762445130504,2.230374170024253,3.1884249941294067,3.6655462488490693,-2.17366972662853,-2.1837392427942213,0.46173176720188763,-0.20380271108976133,5
TEC,P42680,TYR,Tec,0.9665762445130504,1.9778822500453528,2.9665762445130506,3.6655462488490693,-1.2199278389758588,-1.1870283405966373,0.11000425364924482,-0.1504416122287493,21
ITK,Q08881,TYR,Tec,0.8419347045654042,1.1073443518286619,2.3038184128314763,2.624153563690844,-0.9624464544502015,-0.9446839083208431,0.09655207786536182,-0.1721251497500905,27
AXL,P30530,TYR,Axl,0.9354158595261388,1.2221806659648113,2.160396270529163,3.063486257521107,-0.9511748893808873,-0.9447551451069455,0.057077156224955135,-0.21234916642795146,29
IGF1R,P08069,TYR,InsR,0.9665762445130504,1.0890619166947757,2.0780804520848477,2.267606240177032,-1.2951483072655847,-1.2784626143814795,0.11070890868241426,-0.1783736062867192,7
SYK,P43405,TYR,Syk,0.9042554745392273,1.2975639579274907,2.063486257521107,2.8873949984654255,-0.9218391513364788,-0.9320717856661819,0.0462478543440103,-0.20084062828299634,39
NTRK2,Q16620,TYR,Trk,0.9665762445130504,0.998557584937295,2.0123337350737254,2.410273743745763,-1.1701128491948027,-1.1025962294515153,0.1196490542968683,-0.2596691221982028,11
TXK,P42681,TYR,Tec,0.8222130964026132,0.8575965271728965,1.902118255286132,2.711303739409744,-1.0268750471060428,-0.9401842995978439,0.18676447931437526,-0.1351349515120661,15
ZAP70,P43403,TYR,Syk,0.9665762445130504,1.1911929183075847,1.8731545593508154,3.1884249941294067,-0.9033172642508187,-0.9515789003446069,0.11226136286565058,-0.20580758200184385,35
ERBB2,P04626,TYR,EGFR,0.9665762445130504,0.8739580753198151,1.7790555236765873,2.3038184128314763,-0.9080054155541123,-0.9657320033296501,0.12466752713877427,-0.1671539937395654,24
LTK,P29376,TYR,Alk,0.8730950895523157,0.7954292106408605,1.772988151338109,2.1741845550147962,-1.0286969630140808,-1.0324959452330802,0.19307292141571541,-0.14639383901774491,11
LCK,P06239,TYR,Src,0.9665762445130504,1.0050950509458338,1.6878226435602213,3.063486257521107,-1.0043324461384298,-1.1058507452394868,0.17397234708879034,-0.16942580002238494,9
ERBB4,Q15303,TYR,EGFR,0.7206211385232387,0.6113755633036618,1.6775326078689292,2.1214782044987937,-0.852442885441385,-0.716897241082604,0.4014535376746527,-0.17655929244535226,23
FRK,P42685,TYR,Src,0.7172931646177582,1.0236036249916474,1.6608269143660763,2.519418213170831,-0.9970859624474551,-1.0191345914806054,0.11511427167404202,-0.1475755875725077,20
NTRK3,Q16288,TYR,Trk,0.9665762445130504,0.8039194548912326,1.582760878532619,2.6655462488490693,-0.9503048069952938,-0.9702960542394319,0.18540667261896632,-0.22135667278697344,11
JAK1,P23458,TYR,JakA,0.9665762445130504,0.6025877613164052,1.5721245636868342,1.6281197509084455,-1.0245160415470806,-1.0245160415470806,0,-0.43037585833548536,3
ERBB3,P21860,TYR,EGFR,0.8730950895523157,0.5798991258230554,1.5651757037315064,1.6321224933621195,-0.852299936217795,-0.8607019314837647,0.0359346483211653,-0.1687252065148115,24
TYRO3,Q06418,TYR,Axl,0.8419347045654042,0.7211392401394663,1.5320073404788515,2.34332695411515,-0.8496141684889733,-0.9180036851481489,0.14915870007212326,-0.15385137137659077,23
PTK2B,Q14289,TYR,Fak,0.8248870863700449,0.4757910026945361,1.4952845334541118,1.624153563690844,-0.8438003357876963,-0.8158899206675743,0.06213906689558381,-0.20312295065792862,18
EGFR,P00533,TYR,EGFR,0.8419347045654042,0.4378026598546063,1.4350973274707952,1.6321224933621195,-0.803609336319515,-0.786545274701676,0.045202222456857025,-0.18048473194915887,34
MET,P08581,TYR,Met,0.9042554745392273,0.908978351610837,1.3799889398412954,2.7624562618571256,-0.8224286869723142,-0.9066141490063394,0.17692725145833638,-0.1891761041312454,18
BLK,P51451,TYR,Src,0.8730950895523157,0.5348908074212996,1.3789827516316815,1.7904849854573692,-0.8671725659668049,-0.8635209233757845,0.11097154710060952,-0.15173785344842738,10
RET,P07949,TYR,Ret,0.6861327796308466,0.6542653725236525,1.3516790284799156,1.5217799238464096,-0.9402991576533082,-0.9309085752888163,0.06613208016409346,-0.14167755876670657,13
FLT4,P35916,TYR,VEGFR,0.6861327796308466,0.6032874515433168,1.2812990630109087,1.3807814101842228,-1.0187448728505002,-1.0187448728505002,0,-0.11162982313777074,3
CSK,P41240,TYR,Csk,0.9169558903496947,0.2572508306916879,1.2489057415107883,1.4350973274707952,-0.7259574473357014,-0.7165479104625586,0.071912075264677,-0.12417923983584789,25
FGFR1,P11362,TYR,FGFR,0.5853851900752131,0.42217655234999124,1.1702589359191675,2.1884249941294067,-0.8565728497804873,-0.7303575746568244,0.23057928218032478,-0.22555835799304505,11
ABL2,P42684,TYR,Abl,0.9665762445130504,0.2574255781579697,1.161755565791888,1.5320073404788515,-0.7072515656589462,-0.738943002788698,0.07288491517651069,-0.12051649340264238,30
BTK,Q06187,TYR,Tec,0.6861327796308466,0.48918243744154466,1.1546538625885914,1.339779805180208,-0.8538939877637352,-0.849576430291778,0.09291029026182714,-0.0929385017732425,9
ABL1,P00519,TYR,Abl,0.9042554745392273,0.22765506281334913,1.1417997820375048,1.5041782466140943,-0.6890800968727718,-0.7034159079102273,0.05477292734302669,-0.15201562162810903,25
BMX,P51813,TYR,Tec,0.7796139345915812,0.4853681795586227,1.0973010540366395,1.6699110542515192,-0.8093048183621735,-0.8241739050008765,0.06466003398488404,-0.17162153663111832,19
PDGFRA,P16234,TYR,PDGFR,0.9665762445130504,0.1284270644541213,1.0950033089671716,1.0950033089671716,-0.410458606309809,-0.410458606309809,NA,-0.060261681867629,3
PTK6,Q13882,TYR,Src,0.8107743195784928,0.45695747103304013,1.0776067460536525,1.7790555236765873,-0.779733203086313,-0.7980025380883239,0.048818047071776886,-0.1745258663359877,44
MERTK,Q12866,TYR,Axl,0.7796139345915812,0.58645050653847,1.0628834892329462,1.9934483909133518,-0.7999981088881605,-0.8212988327961174,0.10853096732962565,-0.16245046204761973,26
KIT,P10721,TYR,PDGFR,0.6124809770112352,0.46020400558750735,1.0609602334713824,1.1346827816579714,-0.8056610524043298,-0.8475591687767218,0.06683134059351095,-0.38635940991112944,4
FES,P07332,TYR,Fer,0.6345456651847922,0.38388065724012,1.0608203286691729,1.320644794739947,-0.7537598939287596,-0.7693402071313291,0.15059758043920113,-0.0914710879912987,7
FGFR4,P22455,TYR,FGFR,0.7484535496046697,0.40814434564407953,1.0506490328159346,1.9495429052142699,-0.7767342196765444,-0.8206070100052403,0.20378643948238306,-0.17299745649633783,13
EPHA5,P54756,TYR,Eph,0.7562436458513976,0.5098711943349499,1.0384592054640378,1.9753501688205555,-0.7193439181342743,-0.8754220177753999,0.31215619928225097,-0.2898303328961577,3
FGFR2,P21802,TYR,FGFR,0.6861327796308466,0.37928681841264905,1.0233749479492724,1.232814439583809,-0.7302516747456363,-0.7819027954008101,0.11537929461327152,-0.15057252396957388,7
FYN,P06241,TYR,Src,0.58752392158892,0.33592461544749885,0.9693840884203622,1.1640305551842571,-0.7632634435044499,-0.739250703935719,0.10889230223794007,-0.20739784845645737,7
HCK,P08631,TYR,Src,0.6416907538508864,0.3159832482047727,0.9547709328759213,1.1879427125896687,-0.6945485598006694,-0.7251813765931383,0.07338523624229008,-0.14939796750151357,7
FLT1,P17948,TYR,VEGFR,0.667037867840577,0.37313977420956457,0.9489401369261093,1.3095558225743347,-0.7109758236130338,-0.7657540338856433,0.08570028419579565,-0.1963345114645118,16
ALK,Q9UM73,TYR,Alk,0.6861327796308466,0.3051686291051065,0.941057988048789,1.1975820631304024,-0.7385770512119395,-0.7609316973706126,0.050523094930377294,-0.13957725821604292,28
