Kinase,Score,Rank,Method,Perc,Qrt,group,KinaseFamily,subfamily,hgnc_symbol
PTK2,-8.3769979532411,14,PTM-SEA,0.6578947368421053,3,TK,FAK,FAK,PTK2
MAP2K7,0,21,PTM-SEA,0,1,STE,STE7,MEK7,MAP2K7
JAK2,-30.737697486528422,3,PTM-SEA,0.9473684210526315,4,TK,JAKA,JAKA,JAK2
MAP3K6,0,21,PTM-SEA,0,1,STE,STE11,ASK,MAP3K6
ABL1,21.587508651736822,8,PTM-SEA,0.8157894736842105,4,TK,ABL,ABL,ABL1
EGFR,7.873037369789991,15,PTM-SEA,0.631578947368421,3,TK,EGFR,EGFR,EGFR
INSR,-10.74626462964091,13,PTM-SEA,0.6842105263157895,3,TK,INSR,INSR,INSR
LCK,-12.734538669899957,11,PTM-SEA,0.7368421052631579,3,TK,SRC,SRCB,LCK
FYN,-22.90435199100969,7,PTM-SEA,0.8421052631578947,4,TK,SRC,SRCA,FYN
YES1,0,21,PTM-SEA,0,1,TK,SRC,SRCA,YES1
LYN,5.6767042311379,17,PTM-SEA,0.5789473684210527,3,TK,SRC,SRCB,LYN
RET,-19.57697470361541,9,PTM-SEA,0.7894736842105263,4,TK,RET,RET,RET
IGF1R,0,21,PTM-SEA,0,1,TK,INSR,INSR,IGF1R
MET,-29.814038314001802,5,PTM-SEA,0.8947368421052632,4,TK,MET,MET,MET
PDGFRB,-40.03926707124534,2,PTM-SEA,0.9736842105263158,4,TK,PDGFR,PDGFR,PDGFRB
FGR,0,21,PTM-SEA,0,1,TK,SRC,SRCA,FGR
SRC,-11.87064068497186,12,PTM-SEA,0.7105263157894737,3,TK,SRC,SRCA,SRC
FLT1,0,21,PTM-SEA,0,1,TK,VEGFR,VEGFR,FLT1
FGFR3,0,21,PTM-SEA,0,1,TK,FGFR,FGFR,FGFR3
JAK1,-4.026415585035139,19,PTM-SEA,0.5263157894736842,3,TK,JAKA,JAKA,JAK1
TYK2,0,21,PTM-SEA,0,1,TK,JAKA,JAKA,TYK2
FLT4,0,21,PTM-SEA,0,1,TK,VEGFR,VEGFR,FLT4
KDR,-27.097318946879813,6,PTM-SEA,0.868421052631579,4,TK,VEGFR,VEGFR,KDR
MAP2K2,0,21,PTM-SEA,0,1,STE,STE7,MEK1,MAP2K2
CSK,0,21,PTM-SEA,0,1,TK,CSK,CSK,CSK
SYK,47.020476234395325,1,PTM-SEA,1,4,TK,SYK,SYK,SYK
MAP2K4,-1.1242624270895831,20,PTM-SEA,0.5,3,STE,STE7,MEK4,MAP2K4
MAP2K3,0,21,PTM-SEA,0,1,STE,STE7,MEK3,MAP2K3
BMX,-30.5,4,PTM-SEA,0.9210526315789473,4,TK,TEC,TEC,BMX
MAP2K6,0,21,PTM-SEA,0,1,STE,STE7,MEK3,MAP2K6
EPHA4,0,21,PTM-SEA,0,1,TK,EPH,EPH,EPHA4
MAP2K1,-16.609239991829504,10,PTM-SEA,0.7631578947368421,4,STE,STE7,MEK1,MAP2K1
MST1R,0,21,PTM-SEA,0,1,TK,MET,MET,MST1R
ITK,4.718701028021779,18,PTM-SEA,0.5526315789473685,3,TK,TEC,TEC,ITK
DYRK1A,0,21,PTM-SEA,0,1,CMGC,DYRK,DYRK1,DYRK1A
PTK6,-7.072937734601276,16,PTM-SEA,0.6052631578947368,3,TK,SRC,SRM,PTK6
ERBB4,0,21,PTM-SEA,0,1,TK,EGFR,EGFR,ERBB4
MAP3K5,0,21,PTM-SEA,0,1,STE,STE11,ASK,MAP3K5
ALK,0,21,PTM-SEA,0,1,TK,ALK,ALK,ALK
AAK1,305,257,KEA3,0.07714285714285714,1,OTHER,NAK,BIKE,AAK1
ABL1,49,20,KEA3,0.9342857142857143,4,TK,ABL,ABL,ABL1
ABL2,100,97,KEA3,0.6428571428571429,3,TK,ABL,ABL,ABL2
ACVR1,171,173,KEA3,0.3628571428571429,2,TKL,STKR,TYPE1,ACVR1
ACVR1B,216.5,208,KEA3,0.24857142857142858,1,TKL,STKR,TYPE1,ACVR1B
ACVR2B,5,3,KEA3,0.9942857142857143,4,TKL,STKR,TYPE2,ACVR2B
AKT1,75.33333333333333,56,KEA3,0.8028571428571428,4,AGC,AKT,AKT,AKT1
AKT2,117.33333333333333,115,KEA3,0.5771428571428572,3,AGC,AKT,AKT,AKT2
AKT3,85,69,KEA3,0.7542857142857143,4,AGC,AKT,AKT,AKT3
ALK,18.5,11,KEA3,0.9628571428571429,4,TK,ALK,ALK,ALK
ARAF,18.5,11,KEA3,0.9628571428571429,4,TKL,RAF,RAF,ARAF
ATM,80.33333333333333,62,KEA3,0.78,4,ATYPICAL,PIKK,ATM,ATM
ATR,95,89,KEA3,0.68,3,ATYPICAL,PIKK,ATR,ATR
AURKA,120,118,KEA3,0.56,3,OTHER,AUR,AUR,AURKA
AURKB,56.333333333333336,24,KEA3,0.92,4,OTHER,AUR,AUR,AURKB
AURKC,185,185,KEA3,0.32,2,OTHER,AUR,AUR,AURKC
AXL,152,155,KEA3,0.42,2,TK,AXL,AXL,AXL
BLK,259,239,KEA3,0.12857142857142856,1,TK,SRC,SRCB,BLK
BMP2K,326,273,KEA3,0.03142857142857143,1,OTHER,NAK,BIKE,BMP2K
BMPR1A,144.5,149,KEA3,0.44285714285714284,2,TKL,STKR,TYPE1,BMPR1A
BMPR1B,96,91,KEA3,0.6714285714285714,3,TKL,STKR,TYPE1,BMPR1B
BMPR2,233,218,KEA3,0.20285714285714285,1,TKL,STKR,TYPE2,BMPR2
BMX,89.66666666666667,78,KEA3,0.7142857142857143,3,TK,TEC,TEC,BMX
BRAF,136.5,140,KEA3,0.47714285714285715,2,TKL,RAF,RAF,BRAF
BRSK1,223.66666666666666,212,KEA3,0.23142857142857143,1,CAMK,CAMKL,BRSK,BRSK1
BRSK2,310,262,KEA3,0.06285714285714286,1,CAMK,CAMKL,BRSK,BRSK2
BTK,86.66666666666667,73,KEA3,0.7342857142857143,3,TK,TEC,TEC,BTK
BUB1,166.5,168,KEA3,0.37714285714285717,2,OTHER,BUB,BUB,BUB1
CAMK1,193.33333333333334,193,KEA3,0.2914285714285714,2,CAMK,CAMK1,CAMK1,CAMK1
CAMK1D,240,224,KEA3,0.17714285714285713,1,CAMK,CAMK1,CAMK1,CAMK1D
CAMK2A,90.33333333333333,80,KEA3,0.7057142857142857,3,CAMK,CAMK2,CAMK2,CAMK2A
CAMK2B,206.5,202,KEA3,0.26571428571428574,2,CAMK,CAMK2,CAMK2,CAMK2B
CAMK2D,105.66666666666667,102,KEA3,0.6257142857142857,3,CAMK,CAMK2,CAMK2,CAMK2D
CAMK2G,13,7,KEA3,0.98,4,CAMK,CAMK2,CAMK2,CAMK2G
CAMK4,102.33333333333333,100,KEA3,0.6314285714285715,3,CAMK,CAMK1,CAMK1,CAMK4
CAMKK1,137.66666666666666,141,KEA3,0.4742857142857143,2,OTHER,CAMKK,META,CAMKK1
CAMKK2,100.5,98,KEA3,0.64,3,OTHER,CAMKK,META,CAMKK2
CDC42BPA,295,251,KEA3,0.09428571428571429,1,AGC,DMPK,GEK,CDC42BPA
CDC7,197.5,197,KEA3,0.28,2,OTHER,CDC7,CDC7,CDC7
CDK1,138,142,KEA3,0.4685714285714286,2,CMGC,CDK,CDC2,CDK1
CDK11A,333,278,KEA3,0.017142857142857144,1,CMGC,CDK,CDK11,CDK11A
CDK11A,333,278,KEA3,0.017142857142857144,1,NA,NA,NA,CDK11A
CDK12,319,269,KEA3,0.04285714285714286,1,CMGC,CDK,CRK7,CDK12
CDK15,178,178,KEA3,0.34285714285714286,2,CMGC,CDK,PFTAIRE,CDK15
CDK16,17,9,KEA3,0.9742857142857143,4,CMGC,CDK,PCTAIRE,CDK16
CDK18,90,79,KEA3,0.7114285714285714,3,CMGC,CDK,PCTAIRE,CDK18
CDK19,45,18,KEA3,0.9428571428571428,4,CMGC,CDK,CDK8,CDK19
CDK2,92.33333333333333,83,KEA3,0.6971428571428572,3,CMGC,CDK,CDC2,CDK2
CDK20,257,237,KEA3,0.13714285714285715,1,CMGC,CDK,CCRK,CDK20
CDK3,122.33333333333333,122,KEA3,0.5428571428571428,3,CMGC,CDK,CDC2,CDK3
CDK4,39,16,KEA3,0.9485714285714286,4,CMGC,CDK,CDK4,CDK4
CDK5,83.33333333333333,65,KEA3,0.7657142857142857,4,CMGC,CDK,CDK5,CDK5
CDK6,43,17,KEA3,0.9457142857142857,4,CMGC,CDK,CDK4,CDK6
CDK7,76.33333333333333,57,KEA3,0.8,4,CMGC,CDK,CDK7,CDK7
CDK8,219,209,KEA3,0.24285714285714285,1,CMGC,CDK,CDK8,CDK8
CDK9,131,135,KEA3,0.49714285714285716,2,CMGC,CDK,CDK9,CDK9
CDKL3,307,259,KEA3,0.07142857142857142,1,CMGC,CDKL,CDKL,CDKL3
CDKL5,158.5,162,KEA3,0.3942857142857143,2,CMGC,CDKL,CDKL,CDKL5
CHEK1,86.66666666666667,73,KEA3,0.7342857142857143,3,CAMK,CAMKL,CHK1,CHEK1
CHEK2,86.66666666666667,73,KEA3,0.7342857142857143,3,CAMK,RAD53,RAD53,CHEK2
CHUK,84.66666666666667,68,KEA3,0.7571428571428571,4,OTHER,IKK,IKK,CHUK
CLK1,57,25,KEA3,0.9171428571428571,4,CMGC,CLK,CLK,CLK1
CLK2,73.5,51,KEA3,0.8314285714285714,4,CMGC,CLK,CLK,CLK2
CLK3,154,157,KEA3,0.4085714285714286,2,CMGC,CLK,CLK,CLK3
CLK4,322,271,KEA3,0.037142857142857144,1,CMGC,CLK,CLK,CLK4
CSF1R,226,213,KEA3,0.2257142857142857,1,TK,PDGFR,PDGFR,CSF1R
CSK,66.66666666666667,39,KEA3,0.8714285714285714,4,TK,CSK,CSK,CSK
CSNK1A1,122,121,KEA3,0.5485714285714286,3,CK1,CK1,CK1-A,CSNK1A1
CSNK1A1L,337,282,KEA3,0.005714285714285714,1,CK1,CK1,CK1-A,CSNK1A1L
CSNK1D,127.66666666666667,129,KEA3,0.5171428571428571,3,CK1,CK1,CK1-D,CSNK1D
CSNK1E,116.33333333333333,113,KEA3,0.5828571428571429,3,CK1,CK1,CK1-D,CSNK1E
CSNK1G1,219,209,KEA3,0.24285714285714285,1,CK1,CK1,CK1-G,CSNK1G1
CSNK1G2,211,205,KEA3,0.2571428571428571,2,CK1,CK1,CK1-G,CSNK1G2
CSNK1G3,185,185,KEA3,0.32,2,CK1,CK1,CK1-G,CSNK1G3
CSNK2A1,90.33333333333333,80,KEA3,0.7057142857142857,3,CMGC,CK2,CK2,CSNK2A1
CSNK2A2,107.33333333333333,105,KEA3,0.6171428571428571,3,CMGC,CK2,CK2,CSNK2A2
DAPK1,197.33333333333334,196,KEA3,0.28285714285714286,2,CAMK,DAPK,DAPK,DAPK1
DAPK3,191.33333333333334,189,KEA3,0.3057142857142857,2,CAMK,DAPK,DAPK,DAPK3
DCLK1,72,48,KEA3,0.8428571428571429,4,CAMK,DCAMKL,DCAMKL,DCLK1
DDR1,130.5,134,KEA3,0.5028571428571429,3,TK,DDR,DDR,DDR1
DDR2,22,13,KEA3,0.9571428571428572,4,TK,DDR,DDR,DDR2
